Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Barbate;Cádiz;17.4 (13:50);13.3 (07:30);15,3;53 (14:40);37 (14:50);0;0;0;0;0
Tarifa;Cádiz;15.3 (11:30);13.3 (18:10);14,3;67 (01:00);47 (02:00);0;0;0;0;0
Jimena de la Frontera;Cádiz;17.1 (14:50);6.5 (23:59);11,8;35 (12:20);20 (14:20);0;0;0;0;0
San Roque;Cádiz;17.4 (14:00);14.2 (08:10);15,8;40 (00:10);31 (18:40);0;0;0;0;0
Castro Urdiales;Cantabria;9.7 (13:40);5.0 (06:00);7,3;17 (11:00);10 (12:10);0;0;0;0;0
Ramales de la Victoria;Cantabria;9.8 (14:20);-0.2 (08:10);4,8;12 (03:00);4 (03:20);0;0;0;0;0
Barcena de Cicero, Treto;Cantabria;10.2 (16:00);0.7 (07:50);5,4;29 (15:50);18 (15:40);0,2;0,2;0;0;0
Soba, Alto Miera;Cantabria;17.5 (14:10);6.8 (05:40);12,2;33 (16:00);15 (14:00);0;0;0;0;0
Santander Aeropuerto;Cantabria;11.6 (15:00);0.1 (07:50);5,9;28 (14:50);21 (14:50);0;0;0;0;0
Santander;Cantabria;10.1 (14:50);7.2 (05:20);8,7;45 (14:10);36 (15:00);0;0;0;0;0
Villacarriedo;Cantabria;12.0 (15:30);-2.0 (07:40);5;14 (14:50);9 (14:50);0;0;0;0;0
Los Tojos, Bárcena Mayor;Cantabria;13.6 (14:00);-1.5 (02:10);6,1;12 (14:10);5 (13:40);0;0;0;0;0
San Felices de Buelna;Cantabria;13.7 (16:00);-0.8 (07:10);6,4;10 (15:30);5 (15:30);0;0;0;0;0
Torrelavega, Sierrapando;Cantabria;;;;;;;;;;
San Vicente de la Barquera;Cantabria;10.2 (14:10);1.1 (08:00);5,6;20 (00:40);13 (04:20);0;0;0;0;0
Camaleño, Fuente De;Cantabria;18.4 (14:50);5.5 (00:00);11,9;10 (15:30);5 (16:00);0;0;0;0;0
Cillórigo de Liébana, Tama;Cantabria;12.0 (14:50);-4.1 (08:00);4;8 (09:50);4 (10:40);0;0;0;0;0
Tresviso;Cantabria;15.8 (13:00);9.3 (00:10);12,6;17 (17:40);10 (17:40);0;0;0;0;0
Santillana del Mar, Altamira;Cantabria;11.2 (15:50);2.9 (08:20);7;12 (03:20);8 (03:20);0,2;0;0,2;0;0
Reinosa;Cantabria;15.6 (15:30);-3.3 (09:10);6,2;;;0;0;0;0;0
Alto Campoo;Cantabria;13.3 (15:20);2.5 (03:50);7,9;22 (15:30);11 (09:30);0;0;0;0;0
Valderredible, Cubillo de Ebro;Cantabria;16.9 (16:10);-6.0 (08:40);5,4;30 (16:20);15 (16:20);0;0;0;0;0
Valderredible, Polientes;Cantabria;16.9 (15:50);-5.4 (08:40);5,7;19 (16:20);9 (16:10);0;0;0;0;0
